,1044_si,1045_si,1062_si,1064_sg,1051_sca,1052_sca,1053_sca,1046_laa,1047_laa,1048_laa,1040_loa,1041_loa,1042_loa,1043_loa,994_sf,995_sf,1038_sf,1039_sf,990_ll,991_ll,992_ll,993_ll,1054_sr,1055_sr,1056_sr,1057_sr,1058_scr,1059_scr,1060_scr,1061_scr
1044_si,0,0,0,139,314,314,314,1541,1541,1541,1581,1581,1581,1581,1931,1931,1931,1931,2003,2003,2003,2003,2453,2453,2453,2453,2483,2483,2483,2483
1045_si,0,0,0,139,314,314,314,1541,1541,1541,1581,1581,1581,1581,1931,1931,1931,1931,2003,2003,2003,2003,2453,2453,2453,2453,2483,2483,2483,2483
1062_si,0,0,0,139,314,314,314,1541,1541,1541,1581,1581,1581,1581,1931,1931,1931,1931,2003,2003,2003,2003,2453,2453,2453,2453,2483,2483,2483,2483
1064_sg,139,139,139,0,175,175,175,1402,1402,1402,1442,1442,1442,1442,1792,1792,1792,1792,1864,1864,1864,1864,2314,2314,2314,2314,2344,2344,2344,2344
1051_sca,314,314,314,175,0,0,0,1227,1227,1227,1267,1267,1267,1267,1617,1617,1617,1617,1689,1689,1689,1689,2139,2139,2139,2139,2169,2169,2169,2169
1052_sca,314,314,314,175,0,0,0,1227,1227,1227,1267,1267,1267,1267,1617,1617,1617,1617,1689,1689,1689,1689,2139,2139,2139,2139,2169,2169,2169,2169
1053_sca,314,314,314,175,0,0,0,1227,1227,1227,1267,1267,1267,1267,1617,1617,1617,1617,1689,1689,1689,1689,2139,2139,2139,2139,2169,2169,2169,2169
1046_laa,1541,1541,1541,1402,1227,1227,1227,0,0,0,40,40,40,40,350,350,350,350,422,422,422,422,872,872,872,872,902,902,902,902
1047_laa,1541,1541,1541,1402,1227,1227,1227,0,0,0,40,40,40,40,350,350,350,350,422,422,422,422,872,872,872,872,902,902,902,902
1048_laa,1541,1541,1541,1402,1227,1227,1227,0,0,0,40,40,40,40,350,350,350,350,422,422,422,422,872,872,872,872,902,902,902,902
1040_loa,1581,1581,1581,1442,1267,1267,1267,40,40,40,0,0,0,0,310,310,310,310,382,382,382,382,832,832,832,832,862,862,862,862
1041_loa,1581,1581,1581,1442,1267,1267,1267,40,40,40,0,0,0,0,310,310,310,310,382,382,382,382,832,832,832,832,862,862,862,862
1042_loa,1581,1581,1581,1442,1267,1267,1267,40,40,40,0,0,0,0,310,310,310,310,382,382,382,382,832,832,832,832,862,862,862,862
1043_loa,1581,1581,1581,1442,1267,1267,1267,40,40,40,0,0,0,0,310,310,310,310,382,382,382,382,832,832,832,832,862,862,862,862
994_sf,1931,1931,1931,1792,1617,1617,1617,350,350,350,310,310,310,310,0,0,0,0,72,72,72,72,521,521,521,521,551,551,551,551
995_sf,1931,1931,1931,1792,1617,1617,1617,350,350,350,310,310,310,310,0,0,0,0,72,72,72,72,521,521,521,521,551,551,551,551
1038_sf,1931,1931,1931,1792,1617,1617,1617,350,350,350,310,310,310,310,0,0,0,0,72,72,72,72,521,521,521,521,551,551,551,551
1039_sf,1931,1931,1931,1792,1617,1617,1617,350,350,350,310,310,310,310,0,0,0,0,72,72,72,72,521,521,521,521,551,551,551,551
990_ll,2003,2003,2003,1864,1689,1689,1689,422,422,422,382,382,382,382,72,72,72,72,0,0,0,0,450,450,450,450,480,480,480,480
991_ll,2003,2003,2003,1864,1689,1689,1689,422,422,422,382,382,382,382,72,72,72,72,0,0,0,0,450,450,450,450,480,480,480,480
992_ll,2003,2003,2003,1864,1689,1689,1689,422,422,422,382,382,382,382,72,72,72,72,0,0,0,0,450,450,450,450,480,480,480,480
993_ll,2003,2003,2003,1864,1689,1689,1689,422,422,422,382,382,382,382,72,72,72,72,0,0,0,0,450,450,450,450,480,480,480,480
1054_sr,2453,2453,2453,2314,2139,2139,2139,872,872,872,832,832,832,832,521,521,521,521,450,450,450,450,0,0,0,0,30,30,30,30
1055_sr,2453,2453,2453,2314,2139,2139,2139,872,872,872,832,832,832,832,521,521,521,521,450,450,450,450,0,0,0,0,30,30,30,30
1056_sr,2453,2453,2453,2314,2139,2139,2139,872,872,872,832,832,832,832,521,521,521,521,450,450,450,450,0,0,0,0,30,30,30,30
1057_sr,2453,2453,2453,2314,2139,2139,2139,872,872,872,832,832,832,832,521,521,521,521,450,450,450,450,0,0,0,0,30,30,30,30
1058_scr,2483,2483,2483,2344,2169,2169,2169,902,902,902,862,862,862,862,551,551,551,551,480,480,480,480,30,30,30,30,0,0,0,0
1059_scr,2483,2483,2483,2344,2169,2169,2169,902,902,902,862,862,862,862,551,551,551,551,480,480,480,480,30,30,30,30,0,0,0,0
1060_scr,2483,2483,2483,2344,2169,2169,2169,902,902,902,862,862,862,862,551,551,551,551,480,480,480,480,30,30,30,30,0,0,0,0
1061_scr,2483,2483,2483,2344,2169,2169,2169,902,902,902,862,862,862,862,551,551,551,551,480,480,480,480,30,30,30,30,0,0,0,0
